,Player,ActivePoss,ActivePossScored,ScorePerc,Touches,PickUp,CenterThrow,DumpThrow,SwingThrow,UpLineThrow,UnderThrow,DeepCutThrow,CrashThrow,ThroughThrow,OverTopThrow,DishThrow,OpenThrow,Completion,HanTurn,CompPerc,ExpCompPerc,CPOE,CenterCatch,DumpCatch,SwingCatch,UpLineCatch,UnderCatch,DeepCutCatch,CrashCatch,ThroughCatch,OverTopCatch,DishCatch,OpenCatch,Catch,RecTurn,CatchPerc,MedianStall,ForceThrow,BreakThrow,BreakThrowPerc,ResetThrow,ShortThrow,MediumThrow,DeepThrow,AvgThrow,ForceCatch,BreakCatch,BreakCatchPerc,ResetCatch,ShortCatch,MediumCatch,DeepCatch,AvgCatch,HanError,RecError,HanErrorPerc,RecErrorPerc,BasicHanEPA,BasicRecEPA,BasicEPA,BasicHanEPAComp,BasicRecEPAComp,BasicEPAComp,BasicHanEPATurn,BasicRecEPATurn,BasicEPATurn,BasicHanEPAOpp,BasicRecEPAOpp,BasicEPAOpp,BasicHanEPACompOpp,BasicRecEPACompOpp,BasicEPACompOpp,TrueHanEPA,TrueRecEPA,TrueEPA,TrueHanEPAPos,TrueRecEPAPos,TrueEPAPos,TrueHanEPANeg,TrueRecEPANeg,TrueEPANeg,HanEPA,RecEPA,HanEPARes,HanEPA2,HanEPATurn,RecEPATurn,EPA,TourneyScore,TourneyGrade,EPAPerPoss,EPAPerTouch
1,AR,20,7,35,54,6,0,0,9,2,9,2,0,1,0,0,2,24,1,96,86.8,9.2,1,1,8,4,5,1,0,1,0,1,1,20,3,87,4,15,10,40,12,9,3,1,5,11,12,52.2,10,8,3,1,5.45,-1,0.5,-4,2.2,0.374,-0.264,0.11,0.717,1.049,1.766,-0.343,-1.313,-1.656,0.423,-0.225,0.199,0.756,1.087,1.843,0.145,0.454,0.723,0.999,0.454,1.453,-0.854,0,-0.854,0.739,0.398,0.718,1.108,-0.42,0,1.248,1,A,0.06237727,0.023102692
2,AK,10,5,50,25,0,0,0,2,0,7,0,0,0,0,3,0,12,0,100,91.2,8.8,0,0,1,0,11,0,0,1,0,0,0,13,0,100,3,10,2,16.7,6,4,2,0,4.17,8,5,38.5,2,9,2,0,5.77,-1,0,-8.3,0,0.436,0.66,1.097,0.436,0.66,1.097,0,0,0,0.526,0.742,1.268,0.526,0.742,1.268,0.095,0.176,0.396,0.286,0.176,0.462,-0.191,0,-0.191,0.081,0.2,0.3,0.307,0,0,0.248,0.33,B,0.024833389,0.009933356
3,JL,41,15,36.6,115,2,0,3,21,6,16,2,0,1,0,2,2,46,7,86.8,89,-2.2,0,1,4,4,34,9,0,4,0,0,4,57,3,95,4,37,16,30.2,26,20,5,2,4.62,46,14,23.3,10,32,11,7,9.5,-5.5,0.5,-10.4,0.8,-1.647,4.843,3.196,1.273,6.118,7.391,-2.92,-1.275,-4.195,-1.496,4.943,3.447,1.37,6.216,7.586,-1.182,1.415,0.357,1.654,1.918,3.572,-2.836,-0.503,-3.339,-0.825,1.843,0.956,-0.073,-2.074,-0.416,1.512,0.95,B,0.036868953,0.013144583
4,ZA,16,7,43.8,40,4,1,1,5,3,6,2,0,0,0,0,1,16,3,84.2,86.6,-2.4,4,1,3,2,3,1,1,0,0,2,0,15,2,88.2,3,15,4,21.1,6,5,5,2,9.44,14,3,17.6,7,4,1,1,5.38,-2,-0.5,-10.5,-2.9,0.936,-0.359,0.578,1.773,0.231,2.004,-0.837,-0.59,-1.427,1.007,-0.353,0.654,1.815,0.234,2.048,0.919,-0.098,0.946,1.501,0.078,1.579,-0.582,-0.175,-0.757,0.339,-0.101,0.415,0.589,-0.829,-0.209,0.23,0.59,B,0.014361238,0.005744495
5,CM,29,10,34.5,119,19,2,5,12,5,25,3,2,3,1,0,0,51,7,87.9,87.5,0.4,3,6,18,4,3,0,5,0,0,1,2,39,3,92.9,3,36,22,37.9,20,18,15,3,7.5,31,11,26.2,29,9,1,0,1.54,-4.5,0,-7.8,0,-1.061,1.025,-0.035,1.772,1.844,3.616,-2.832,-0.819,-3.652,-1.293,0.934,-0.358,1.614,1.739,3.353,-0.924,0.527,-0.273,2.219,0.527,2.746,-3.143,0,-3.143,-0.234,0.229,0.637,0.612,-1.915,0,0.583,0.16,C,0.020088868,0.004895606
6,CL,35,14,40,103,3,0,1,4,9,20,6,1,2,0,2,3,38,10,79.2,83.5,-4.3,0,1,8,2,24,5,0,8,0,1,3,49,3,94.2,4.5,34,14,29.2,9,26,7,6,9.27,32,20,38.5,15,25,7,5,7.79,-9,1,-18.8,1.9,1.175,2.159,3.334,5.106,2.928,8.033,-3.93,-0.769,-4.699,1.242,2.204,3.446,5.125,2.94,8.065,0.501,1.156,1.781,4.247,1.156,5.403,-3.747,0,-3.747,-1.482,1.543,0.232,-0.778,-3.545,0,0.507,1.16,A,0.014490141,0.004923834
7,DB,12,4,33.3,31,0,0,1,8,1,3,0,0,0,0,0,0,10,3,76.9,92.3,-15.4,0,0,2,3,10,1,0,1,1,0,0,15,3,83.3,4,11,2,15.4,9,4,0,0,1.54,10,8,44.4,5,8,3,2,8.61,-2,-0.5,-15.4,-2.8,-0.982,0.114,-0.868,0.542,0.951,1.493,-1.525,-0.837,-2.362,-0.883,0.241,-0.642,0.608,1.05,1.658,-0.505,0.18,-0.201,0.608,0.298,0.906,-1.113,-0.118,-1.231,-0.644,0.044,0.178,-0.492,-0.832,-0.21,-0.706,-0.46,D,-0.058826328,-0.022771482
8,EM,27,8,29.6,101,18,4,1,16,1,21,0,1,2,1,1,1,47,2,95.9,89.1,6.8,3,10,14,5,0,0,1,0,0,1,0,31,3,91.2,3,27,22,44.9,22,22,1,0,2.78,27,7,20.6,25,4,2,0,1.61,-4.5,0,-9.2,0,-0.316,-0.111,-0.427,0.287,0.764,1.051,-0.603,-0.875,-1.478,-0.172,-0.05,-0.222,0.408,0.804,1.212,-1.416,0.236,-1.055,1.011,0.236,1.247,-2.427,0,-2.427,-0.607,0.116,0.774,0.082,-0.824,0,-0.061,-0.56,D,-0.002248222,-0.00060101
9,EH,15,3,20,25,0,0,2,2,0,3,0,0,0,0,0,1,6,2,75,93.2,-18.2,0,0,0,1,7,5,0,2,0,0,2,11,6,64.7,5,8,0,0,4,3,1,0,3.75,12,5,29.4,0,6,7,4,16.18,-3,-2,-37.5,-11.8,-0.633,-0.311,-0.944,0.078,1.965,2.043,-0.711,-2.276,-2.987,-0.549,-0.166,-0.715,0.14,2.082,2.222,-0.978,-0.352,-1.205,0.039,0.47,0.509,-1.017,-0.822,-1.839,-1.105,-0.472,0.014,-1.024,-0.828,-0.833,-1.754,-1.5,F,-0.11695035,-0.07017021
10,GL,9,4,44.4,28,0,0,0,4,1,6,2,0,0,0,0,0,9,4,69.2,84.7,-15.5,0,1,1,1,8,2,0,0,1,0,1,14,1,93.3,4,12,1,7.7,4,4,3,2,10.38,13,2,13.3,5,3,5,2,10.67,-2.5,0,-19.2,0,-1.873,0.717,-1.156,0.354,1.06,1.414,-2.227,-0.343,-2.57,-2.003,0.545,-1.458,0.281,0.909,1.19,-1.303,0.26,-0.919,0.37,0.26,0.629,-1.673,0,-1.673,-0.816,0.327,0.278,-0.639,-1.072,0,-0.571,-0.75,D,-0.063441951,-0.020392056
