"","Opponent","idx","DJI.ID","Full.ID","Game.ID","Point.ID","Possession.ID","Defense.Type","Handler","Receiver","Time.Thrown","stall","Start.Area","start.x","start.y","End.Area","end.x","end.y","Force.Break","Throw.Type","Throw.Group","Action.Result","Possession.Result","Point.Result","Handler.Error","Receiver.Error","ExpComp","fit","BasicEPA","OppFactor","BasicEPAOpp","TrueEPAHan","TrueEPARec","EPA","OppFactor2","EPAHan","EPARec","EPAHanRes","EPAHanTot","EPAHan2"
"1","Binghamton",538,"472","1.1.1",1,1,1,"Man",NA,"Micah",70,67,"e1","1","e","e1","1","e","f","Pick Up","Start",1,0,1,NA,0,NA,0.253,0,0,0,0,0,0,0,NA,NA,0,NA,NA
"2","Binghamton",539,"472","1.1.1",1,1,1,"Man","Micah","John",72,2,"e1","1","e","e2","2","e","f","Under","Short",1,0,1,0,0,0.879,0.26,0.007,0.011,0.018,0.014,0.004,0.053,0,0.039,0.014,0.015,0.054,0.059
"3","Binghamton",540,"472","1.1.1",1,1,1,"Man","John","Dan B",76,4,"e2","2","e","e2","2","e","f","Under","Reset",1,0,1,0,0,0.889,0.26,0,0.011,0.011,0.008,0.002,0.042,0,0.031,0.011,0,0.031,0.046
"4","Binghamton",541,"472","1.1.1",1,1,1,"Man","Dan B","Gribs",79,3,"e2","2","e","e1","1","e","b","Swing","Reset",0,0,1,-1,0,0.897,0,-0.26,0.011,-0.249,-0.249,0,-0.421,0,-0.421,0,0,-0.421,-0.421
"5","Binghamton",542,"472","1.1.2",1,1,2,"Man",NA,"Micah",113,34,"e1","1","e","e1","1","e","f","Pick Up","Start",1,1,1,NA,0,NA,0.253,0,0,0,0,0,0,0,NA,0,0,NA,NA
"6","Binghamton",543,"472","1.1.2",1,1,2,"Man","Micah","Gribs",114,1,"e1","1","e","f2","2","f","f","Swing","Reset",1,1,1,0,0,0.959,0.386,0.133,0.011,0.144,0.112,0.031,0.005,0,0.004,0.001,0.062,0.066,0.018
"7","Binghamton",544,"472","1.1.2",1,1,2,"Man","Gribs","John",116,2,"f2","2","f","e3","3","e","f","Under","Short",1,1,1,0,0,0.879,0.262,-0.124,0.011,-0.113,-0.113,0,0.053,0,0.039,0.014,0.085,0.124,0.059
"8","Binghamton",545,"472","1.1.2",1,1,2,"Man","John","Pookie",119,3,"e3","3","e","d3","3","d","f","Under","Medium",1,1,1,0,0,0.926,0.313,0.051,0.011,0.061,0.048,0.013,0.085,0,0.062,0.023,0.108,0.17,0.085
"9","Binghamton",546,"472","1.1.2",1,1,2,"Man","Pookie","Brick",125,6,"d3","3","d","d3","3","d","f","Under","Short",1,1,1,0,0,0.879,0.313,0,0.011,0.011,0.008,0.002,0.053,0,0.039,0.014,0.178,0.217,0.059
"10","Binghamton",547,"472","1.1.2",1,1,2,"Man","Brick","John",128,3,"d3","3","d","a3","3","a","f","Deep","Deep",1,1,1,0,0,0.485,1,0.687,0.011,0.698,0.546,0.153,0.486,0,0.355,0.13,0,0.355,0.367
"11","Binghamton",548,"473","1.2.1",1,2,1,"Man",NA,"Eli",79,-49,"d1","1","d","d1","1","d","f","Pick Up","Start",1,0,0,NA,0,NA,0.277,0,0,0,0,0,0,0,NA,0,0,NA,NA
"12","Binghamton",549,"473","1.2.1",1,2,1,"Man","Eli","Holladay",82,3,"d1","1","d","d2","2","d","b","Swing","Reset",1,0,0,0,0,0.897,0.343,0.066,0.011,0.077,0.06,0.017,0.005,0,0.004,0.001,0,0.004,0.016
"13","Binghamton",550,"473","1.2.1",1,2,1,"Man","Holladay","Eli",87,5,"d2","2","d","d1","1","d","f","Swing","Reset",1,0,0,0,0,0.959,0.277,-0.066,0.011,-0.055,-0.055,0,0.005,0,0.004,0.001,0,0.004,0.018
"14","Binghamton",551,"473","1.2.1",1,2,1,"Man","Eli","Alper",89,2,"d1","1","d","d3","3","d","b","Under","Short",1,0,0,-1,0,0.817,0.313,0.036,0.011,0.047,-0.24,0.01,0.053,0,-0.238,0.014,0,-0.238,-0.22
