"","End.Area","end.x","end.y","StartActComp","StartActTurn","StartActCompPerc","StartPossScore","StartPossTurn","StartPossScorePerc","StartPointWon","StartPointLost","StartPointWonPerc","EndActComp","EndActTurn","EndActCompPerc","EndPossScore","EndPossTurn","EndPossScorePerc","EndPointWon","EndPointLost","EndPointWonPerc","EndCompPossScore","EndCompPossTurn","EndCompPossScorePerc","EndCompPointWon","EndCompPointLost","EndCompPointWonPerc","SmoothEP","TheoryEP"
"1","a1","1","a",0,0,NA,0,0,NA,0,0,NA,48,10,0.827586206896552,48,10,0.827586206896552,52,6,0.896551724137931,48,0,1,48,0,1,0.920210530588126,1
"2","a2","2","a",0,0,NA,0,0,NA,0,0,NA,53,23,0.697368421052632,53,23,0.697368421052632,64,11,0.853333333333333,53,0,1,53,0,1,0.926875912346737,1
"3","a3","3","a",0,0,NA,0,0,NA,0,0,NA,55,21,0.723684210526316,55,21,0.723684210526316,67,7,0.905405405405405,55,0,1,55,0,1,0.917046959919958,1
"4","b1","1","b",125,17,0.880281690140845,100,42,0.704225352112676,115,27,0.809859154929577,129,9,0.934782608695652,91,47,0.659420289855073,108,30,0.782608695652174,91,38,0.705426356589147,105,24,0.813953488372093,0.72016586528684,0.8
"5","b2","2","b",221,16,0.932489451476793,187,50,0.789029535864979,210,25,0.893617021276596,218,48,0.819548872180451,172,94,0.646616541353383,218,44,0.83206106870229,172,46,0.788990825688073,191,25,0.884259259259259,0.746658977330798,0.85
"6","b3","3","b",100,19,0.840336134453782,81,38,0.680672268907563,107,12,0.899159663865546,111,23,0.828358208955224,76,58,0.567164179104478,112,22,0.835820895522388,76,35,0.684684684684685,99,12,0.891891891891892,0.723678072646739,0.8
"7","c1","1","c",129,19,0.871621621621622,63,85,0.425675675675676,97,48,0.668965517241379,128,12,0.914285714285714,51,89,0.364285714285714,87,50,0.635036496350365,51,77,0.3984375,82,43,0.656,0.474593796358438,0.55
"8","c2","2","c",339,33,0.911290322580645,205,166,0.55256064690027,295,67,0.814917127071823,347,34,0.910761154855643,193,186,0.509234828496042,288,81,0.780487804878049,193,152,0.559420289855072,272,65,0.807121661721068,0.521914312082054,0.6
"9","c3","3","c",175,33,0.841346153846154,97,110,0.468599033816425,142,63,0.692682926829268,194,22,0.898148148148148,92,123,0.427906976744186,139,73,0.655660377358491,92,101,0.476683937823834,132,59,0.691099476439791,0.508133881409493,0.55
"10","d1","1","d",159,18,0.898305084745763,48,129,0.271186440677966,100,72,0.581395348837209,160,14,0.919540229885057,44,129,0.254335260115607,93,75,0.553571428571429,44,115,0.276729559748428,90,65,0.580645161290323,0.321046055773546,0.3
"11","d2","2","d",509,43,0.922101449275362,187,362,0.340619307832423,353,182,0.65981308411215,487,30,0.941972920696325,166,348,0.32295719844358,320,181,0.63872255489022,166,318,0.34297520661157,311,160,0.660297239915074,0.352137503168885,0.35
"12","d3","3","d",173,26,0.869346733668342,62,137,0.311557788944724,116,74,0.610526315789474,176,9,0.951351351351351,55,130,0.297297297297297,104,71,0.594285714285714,55,121,0.3125,102,65,0.610778443113772,0.34860375712143,0.3
"13","e1","1","e",209,26,0.88936170212766,57,176,0.244635193133047,111,114,0.493333333333333,163,10,0.942196531791908,41,131,0.238372093023256,85,80,0.515151515151515,41,121,0.253086419753086,82,73,0.529032258064516,0.261587101188635,0.225
"14","e2","2","e",487,33,0.936538461538462,135,380,0.262135922330097,270,226,0.544354838709677,408,24,0.944444444444444,105,323,0.245327102803738,218,195,0.527845036319613,105,299,0.25990099009901,211,178,0.542416452442159,0.28712619410892,0.275
"15","e3","3","e",155,15,0.911764705882353,47,123,0.276470588235294,92,72,0.560975609756098,126,11,0.91970802919708,33,104,0.240875912408759,67,66,0.503759398496241,33,93,0.261904761904762,66,56,0.540983606557377,0.283638573792552,0.225
"16","f1","1","f",29,2,0.935483870967742,6,25,0.193548387096774,11,18,0.379310344827586,22,2,0.916666666666667,4,20,0.166666666666667,7,15,0.318181818181818,4,18,0.181818181818182,7,13,0.35,0.242645961345402,0.15
"17","f2","2","f",64,4,0.941176470588235,24,44,0.352941176470588,32,36,0.470588235294118,57,3,0.95,22,38,0.366666666666667,29,31,0.483333333333333,22,35,0.385964912280702,29,28,0.508771929824561,0.301965018017816,0.2
"18","f3","3","f",23,1,0.958333333333333,6,18,0.25,17,7,0.708333333333333,15,0,1,4,11,0.266666666666667,10,5,0.666666666666667,4,11,0.266666666666667,10,5,0.666666666666667,0.287986739385904,0.15
