"","Player","ActivePoss","ActivePossScored","ScorePerc","Touches","PickUp","CenterThrow","DumpThrow","SwingThrow","UpLineThrow","UnderThrow","DeepCutThrow","CrashThrow","ThroughThrow","OverTopThrow","DishThrow","OpenThrow","Completion","HanTurn","CompPerc","ExpCompPerc","CPOE","CenterCatch","DumpCatch","SwingCatch","UpLineCatch","UnderCatch","DeepCutCatch","CrashCatch","ThroughCatch","OverTopCatch","DishCatch","OpenCatch","Catch","RecTurn","CatchPerc","MedianStall","ForceThrow","BreakThrow","BreakThrowPerc","ResetThrow","ShortThrow","MediumThrow","DeepThrow","AvgThrow","ForceCatch","BreakCatch","BreakCatchPerc","ResetCatch","ShortCatch","MediumCatch","DeepCatch","AvgCatch","HanError","RecError","HanErrorPerc","RecErrorPerc","BasicHanEPA","BasicRecEPA","BasicEPA","BasicHanEPAComp","BasicRecEPAComp","BasicEPAComp","BasicHanEPATurn","BasicRecEPATurn","BasicEPATurn","BasicHanEPAOpp","BasicRecEPAOpp","BasicEPAOpp","BasicHanEPACompOpp","BasicRecEPACompOpp","BasicEPACompOpp","TrueHanEPA","TrueRecEPA","TrueEPA","TrueHanEPAPos","TrueRecEPAPos","TrueEPAPos","TrueHanEPANeg","TrueRecEPANeg","TrueEPANeg","HanEPA","RecEPA","HanEPARes","HanEPA2","HanEPATurn","RecEPATurn","EPA","TourneyScore","TourneyGrade","EPAPerPoss","EPAPerTouch"
"1","Aiden",20,7,35,54,6,0,0,9,2,9,2,0,1,0,0,2,24,1,96,86.8,9.2,1,1,8,4,5,1,0,1,0,1,1,20,3,87,4,15,10,40,12,9,3,1,5,11,12,52.2,10,8,3,1,5.45,-1,0.5,-4,2.2,0.392784016118784,-0.276453777713512,0.116330238405272,0.735759222730495,1.03638000971416,1.77213923244465,-0.342975206611711,-1.31283378742767,-1.65580899403938,0.44587293814745,-0.233645949906151,0.212226988241299,0.778056470128108,1.07772607127276,1.85578254140087,0.165331150864717,0.452604710249856,0.742812764155767,1.0028448919854,0.452604710249856,1.45544960223525,-0.83751374112068,0,-0.83751374112068,0.740086652763803,0.398434439795302,0.7181243931781,1.1088,-0.420825920024514,0,1.24861702516823,1.01,"A",0.0624308512584116,0.0231225375031154
"2","Alper",10,5,50,25,0,0,0,2,0,7,0,0,0,0,3,0,12,0,100,91.2,8.8,0,0,1,0,11,0,0,1,0,0,0,13,0,100,3,10,2,16.7,6,4,2,0,4.17,8,5,38.5,2,9,2,0,5.77,-1,0,-8.3,0,0.436426559742138,0.660144614945791,1.09657117468793,0.436426559742138,0.660144614945791,1.09657117468793,0,0,0,0.527809585758603,0.744370519411362,1.27218010516996,0.527809585758603,0.744370519411362,1.27218010516996,0.0968040797143344,0.176402067846747,0.398083050602276,0.286891487477214,0.176402067846747,0.463293555323961,-0.190087407762879,0,-0.190087407762879,0.0823332850660726,0.200453184120935,0.300100472280425,0.3078,0,0,0.249635769493865,0.33,"B",0.0249635769493865,0.00998543077975461
"3","Bambi",41,15,36.6,115,2,0,3,21,6,16,2,0,1,0,2,2,46,7,86.8,89,-2.2,0,1,4,4,34,9,0,4,0,0,4,57,3,95,4,37,16,30.2,26,20,5,2,4.62,46,14,23.3,10,32,11,7,9.5,-5.5,0.5,-10.4,0.8,-1.64680921837887,4.81834404619772,3.17153482781885,1.27338445589022,6.09909028031451,7.37247473620472,-2.92019367426909,-1.28074623411678,-4.20093990838587,-1.48729529729197,4.9275425906681,3.44024729337613,1.3776493672049,6.20682705853612,7.58447642574103,-1.1741679300437,1.41459478595024,0.365303758947739,1.65300779329068,1.91724493387978,3.57025272717047,-2.82717572333438,-0.502650147929541,-3.32982587126392,-0.82287474217571,1.84504473681524,0.956948005240186,-0.0707,-2.07576842763891,-0.416504515069479,1.51572732218818,0.95,"B",0.0369689590777604,0.013180237584245
"4","Brick",16,7,43.8,40,4,1,1,5,3,6,2,0,0,0,0,1,16,3,84.2,86.6,-2.39999999999999,4,1,3,2,3,1,1,0,0,2,0,15,2,88.2,3,15,4,21.1,6,5,5,2,9.44,14,3,17.6,7,4,1,1,5.38,-2,-0.5,-10.5,-2.9,0.923789706092824,-0.364791745277865,0.558997960814959,1.77293775221091,0.231269881087035,2.00420763329795,-0.849148046118089,-0.5960616263649,-1.44520967248299,0.996717096893602,-0.35715803459024,0.639559062303362,1.81685908336603,0.235144599423563,2.05200368278959,0.908314436641973,-0.0984462673872717,0.934745072295896,1.50068316466302,0.0766198966940306,1.57730306135705,-0.592368728021046,-0.175066164081302,-0.767434892102348,0.338478717812732,-0.100962051952755,0.415474188437376,0.5892,-0.829187364934922,-0.208854911561691,0.229620533420175,0.59,"B",0.0143512833387609,0.00574051333550438
"5","Bro",29,10,34.5,119,19,2,5,12,5,25,3,2,3,1,0,0,51,7,87.9,87.5,0.400000000000006,3,6,18,4,3,0,5,0,0,1,2,39,3,92.9,3,36,22,37.9,20,18,15,3,7.5,31,11,26.2,29,9,1,0,1.54,-4.5,0,-7.8,0,-1.07288063482891,1.01277682743455,-0.0601038073943598,1.765775578971,1.83826423728687,3.60403981625787,-2.83865621379991,-0.82548740985232,-3.66414362365223,-1.29685388932101,0.928078317767706,-0.368775571553309,1.61505083199686,1.73823889139547,3.35328972339233,-0.927767732668699,0.526920318860035,-0.275970510767469,2.21221534581808,0.526920318860035,2.73913566467811,-3.13998307848678,0,-3.13998307848678,-0.235117282964467,0.229970100685181,0.637544905416636,0.6112,-1.91685732033952,0,0.582552686058111,0.16,"C",0.0200880236571763,0.00489540072317741
"6","CLo",35,14,40,103,3,0,1,4,9,20,6,1,2,0,2,3,38,10,79.2,83.5,-4.3,0,1,8,2,24,5,0,8,0,1,3,49,3,94.2,4.5,34,14,29.2,9,26,7,6,9.27,32,20,38.5,15,25,7,5,7.79,-9,1,-18.8,1.9,1.13842405004104,2.18351039789501,3.32193444793606,5.07471777588769,2.95840256965215,8.03312034553984,-3.93629372584665,-0.774892171757135,-4.71118589760378,1.21109517191988,2.23531763455297,3.44641280647286,5.09921726726725,2.9769341739036,8.07615144117086,0.470871643009954,1.15949209847074,1.75524064452189,4.23464684298193,1.15949209847074,5.39413894145267,-3.76377519997197,0,-3.76377519997197,-1.48346505668914,1.54594852219844,0.232464391370205,-0.779,-3.54779785876171,0,0.508331107571368,1.15,"A",0.0145237459306105,0.00493525347156668
"7","Dan B",12,4,33.3,31,0,0,1,8,1,3,0,0,0,0,0,0,10,3,76.9,92.3,-15.4,0,0,2,3,10,1,0,1,1,0,0,15,3,83.3,4,11,2,15.4,9,4,0,0,1.54,10,8,44.4,5,8,3,2,8.61,-2,-0.5,-15.4,-2.8,-0.982489013287104,0.10206920597593,-0.880419807311174,0.542258623256389,0.951217175161098,1.49347579841749,-1.52474763654349,-0.849147969185168,-2.37389560572866,-0.881479208430794,0.230922760096682,-0.650556448334112,0.609341065734723,1.05171639960766,1.66105746534238,-0.503873042727681,0.177323988652224,-0.201672151034263,0.608574623447509,0.298471361213292,0.907045984660801,-1.11244766617519,-0.121147372561068,-1.23359503873626,-0.643840144652388,0.0438816451968435,0.178359051193249,-0.491,-0.833009030138958,-0.210412960012257,-0.705735769430226,-0.46,"D",-0.0588113141191855,-0.0227656699816202
"8","Eli",27,8,29.6,101,18,4,1,16,1,21,0,1,2,1,1,1,47,2,95.9,89.1,6.8,3,10,14,5,0,0,1,0,0,1,0,31,3,91.2,3,27,22,44.9,22,22,1,0,2.78,27,7,20.6,25,4,2,0,1.61,-4.5,0,-9.2,0,-0.309498989642231,-0.111295539960509,-0.42079452960274,0.29337720706854,0.763825897863666,1.05720310493221,-0.602876196710771,-0.875121437824174,-1.47799763453495,-0.159496912362313,-0.0453017702291753,-0.204798682591489,0.420243596601534,0.808236318332894,1.22847991493443,-1.40499906763272,0.235390263102566,-1.04473190148896,1.0155507392597,0.235390263102566,1.25094100236227,-2.42054980689242,0,-2.42054980689242,-0.605782614807651,0.116197775824497,0.772744255065838,0.0841,-0.82436622022889,0,-0.0583196388025727,-0.56,"D",-0.00215998662231751,-0.000577422166362106
"9","Ethan",15,3,20,25,0,0,2,2,0,3,0,0,0,0,0,1,6,2,75,93.2,-18.2,0,0,0,1,7,5,0,2,0,0,2,11,6,64.7,5,8,0,0,4,3,1,0,3.75,12,5,29.4,0,6,7,4,16.18,-3,-2,-37.5,-11.8,-0.632691062176307,-0.311302616416903,-0.94399367859321,0.0782464378239002,1.96497495771897,2.04322139554287,-0.710937500000207,-2.27627757413587,-2.98721507413608,-0.54780097307775,-0.1627321010046,-0.71053307408235,0.140652569147004,2.0837924091955,2.22444497834251,-0.976984407854856,-0.350552675633514,-1.20266018044718,0.0397252969114753,0.471063473732989,0.510788770644464,-1.01670970476633,-0.821616149366502,-1.83832585413283,-1.10486767655195,-0.472775970636822,0.0137898830261175,-1.0238,-0.828871239580607,-0.834214338192861,-1.75519338526389,-1.5,"F",-0.117012892350926,-0.0702077354105557
"10","Goo",9,4,44.4,28,0,0,0,4,1,6,2,0,0,0,0,0,9,4,69.2,84.7,-15.5,0,1,1,1,8,2,0,0,1,0,1,14,1,93.3,4,12,1,7.7,4,4,3,2,10.38,13,2,13.3,5,3,5,2,10.67,-2.5,0,-19.2,0,-1.87294762993251,0.710968978049914,-1.1619786518826,0.354141296744672,1.05394418466162,1.4080854814063,-2.22708892667719,-0.342975206611711,-2.5700641332889,-2.00197563954052,0.540145463930401,-1.46183017561011,0.281160002762792,0.904018422797867,1.18517842556066,-1.30285099353199,0.258668075364308,-0.919306015126486,0.36970725387711,0.258668075364308,0.628375329241418,-1.6725582474091,0,-1.6725582474091,-0.816573934362118,0.326761515065276,0.277990859367318,-0.64,-1.073110989537,0,-0.571855899561794,-0.75,"D",-0.0635395443957549,-0.0204234249843498
